ts,hypothesis,arm,market,tf,n_trades,pf,sharpe,expected_days,pass_rate,null_margin,verdict,prereg,params,note
2026-08-31,H-001,full grid: 8 anchors x 15m-4h range x 2-24h hold x touch/close entry x 4 stop modes x 5 targets x follow/fade,BTCUSDT,15m,0,1.045,0.28,18.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",0/8160 configs reach PF 1.20 at 1x cost; only 6 exceed 1.00
2026-08-31,H-001,"same grid, zero fees (diagnostic)",BTCUSDT,15m,0,1.541,3.98,39.8,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","median PF 0.960 with NO costs → no edge to protect, not a fee problem"
2026-08-31,H-001,"same grid, out of sample",BTCUSDT,15m,0,1.011,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",0/8160 reach 1.20; every top-IS config falls below 1.00
2026-08-31,H-001,wider stop to outrun cost (1-8x ATR),BTCUSDT,15m,0,0.61,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",gross edge decays as fast as cost burden falls; maker tops out 0.93
2026-08-31,H-001,"literature variants: rel-volume filter, first-candle entry, 5-20% daily-ATR stop, 3R/5R/10R",BTCUSDT,15m,0,nan,nan,140.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","75 configs clear 1.20 IS, 4 repeat OOS (5.3%); median OOS of that group 0.945; survivors trade 1x/fortnight"
2026-08-31,H-001,"walk-forward, 12m train / 3m test, 31 quarters",BTCUSDT,15m,0,0.781,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","stitched 2,746 trades, -594R; 5/31 quarters above breakeven; train 1.215 → test 0.816"
2026-08-31,H-001,"prop challenge sim, best config, 4%/8%/8%",BTCUSDT,15m,0,1.019,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","35.5% pass, 64.1% breach max loss"
2026-08-31,H-001,"full grid on XAUUSD, 3y",XAUUSD,15m,0,1.262,1.08,11.3,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",2/8160 clear 1.20 at 1x; 0 survive the IS/OOS split; 0 at 2x cost
2026-08-31,H-001,"full grid on EURUSD, 3y",EURUSD,15m,0,1.081,0.4,14.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",0/8160 clear 1.20 at any cost level
2026-08-31,H-001,"full grid on GBPUSD, 3y",GBPUSD,15m,0,1.439,1.63,338.7,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","11/8160 clear 1.20; all one cluster at the 20:00 anchor, the WORST anchor by median; 339 days to resolve"
2026-08-31,H-001,"full grid on BTCUSDT, same 3y window",BTCUSDT,15m,0,0.993,-0.05,18.9,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",0/8160 even reach breakeven at 1x
2026-08-31,H-001,"session-anchor test, median PF by anchor",all 4,assets,0,0.789,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","NY open is the best anchor on all 3 FX/metal, NY close the worst; best median still 0.789"
2026-08-31,H-001,20 session anchors incl. Tokyo/Sydney/half-hours,4 assets,15m,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",NY cash open 13:30 UTC best on all 3 FX/metal; Asia worst region; NY close worst anchor 0.577
2026-08-31,H-001,"29 filters, paired lift vs same configs unfiltered",4 assets,15m,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",base 0.679; best lift breakout-rvol>2.0 (+0.052); breakeven stops and retest entries all NEGATIVE
2026-08-31,H-001,"stacked filters, IS/OOS split",4 assets,15m,0,nan,nan,nan,nan,nan,MAYBE,,"{""source"": ""STRATEGY_LOG.md backfill""}","BTC 103/179 survive OOS (10.6x base rate); best config +ve in 8/9 years, longs 1.43 shorts 1.97"
2026-08-31,H-001,"**walk-forward, filtered family, chosen blind**",BTCUSDT,15m,0,1.165,nan,1.5,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","470 trades, +42.4R, 13/31 quarters >1. Up from 0.781 unfiltered — real lift, still under the 1.20 gate and far too slow"
2026-08-31,H-001,"8-instrument FX/metal universe, full grid",EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCH,15m,0,nan,nan,182.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","69/65,280 clear 1.20 at 1x; **0 at 2x**; every best config's DD breaches the 8% cap"
